,Diverse,Quo Lux,Leskeaceae,£7872.25,1,12/8/2020,8/25/2020,1,1,false
,systematic,Redhold,Brachytheciaceae,£8094.32,2,6/30/2020,10/31/2020,2,2,false
,Re-contextualized,Zaam-Dox,Araceae,£29833.15,3,9/1/2020,6/26/2020,3,3,true
,grid-enabled,Bitwolf,Polemoniaceae,£16690.47,4,4/24/2021,10/6/2020,4,4,false
,encryption,Voltsillam,Sapotaceae,£13229.49,5,9/22/2020,7/13/2020,5,5,true
,concept,Stronghold,Urticaceae,£8893.33,6,7/3/2020,3/10/2021,6,6,false
,budgetary management,Vagram,Asteraceae,£18562.42,7,5/23/2020,9/9/2020,7,7,false
,toolset,Toughjoyfax,Chenopodiaceae,£25446.51,8,8/27/2020,9/2/2020,8,8,true
,background,Bitwolf,Arecaceae,£13210.91,9,2/8/2021,9/27/2020,9,9,true
,Automated,Flexidy,Fabaceae,£25141.48,10,9/2/2020,1/12/2021,10,10,true
,optimal,Zathin,Boraginaceae,£8999.01,11,5/3/2021,10/11/2020,11,11,false
,Implemented,Stronghold,Fabaceae,£1409.55,12,3/26/2021,1/10/2021,12,12,true
,contextually-based,Ventosanzap,Poaceae,£15629.90,13,12/5/2020,12/27/2020,13,13,true
,Quality-focused,Voyatouch,Asteraceae,£21477.54,14,6/13/2020,10/3/2020,14,14,false
,groupware,Redhold,Polygonaceae,£16664.29,15,5/22/2020,7/15/2020,15,15,false
,protocol,Fix San,Cyperaceae,£25850.13,16,7/9/2020,1/6/2021,16,16,true
,intangible,Prodder,Pottiaceae,£22420.81,17,6/18/2020,6/22/2020,17,17,false
,data-warehouse,Cookley,Gentianaceae,£14009.38,18,7/31/2020,10/5/2020,18,18,true
,composite,Sonsing,Rutaceae,£26478.18,19,12/30/2020,2/18/2021,19,19,true
,groupware,Fixflex,Apocynaceae,£27181.71,20,7/18/2020,12/26/2020,20,20,true
,internet solution,Tampflex,Diapensiaceae,£12519.59,21,1/6/2021,9/24/2020,21,21,false
,Front-line,Transcof,Asteraceae,£16470.34,22,1/27/2021,6/13/2020,22,22,false
,definition,Cardify,Saxifragaceae,£21705.87,23,6/25/2020,4/7/2021,23,23,false
,capacity,Asoka,Fabaceae,£27808.59,24,2/19/2021,4/15/2021,24,24,true
,installation,Konklab,Poaceae,£20578.68,25,6/5/2020,11/18/2020,25,25,true
,Total,Tempsoft,Thelotremataceae,£4677.38,26,10/8/2020,6/11/2020,26,26,true
,analyzing,Stim,Polypodiaceae,£26721.70,27,7/23/2020,7/19/2020,27,27,true
,function,Tin,Boraginaceae,£28018.71,28,8/9/2020,3/17/2021,28,28,true
,Enterprise-wide,Alphazap,Rubiaceae,£1321.82,29,3/16/2021,3/15/2021,29,29,true
,initiative,Cardify,Fabaceae,£4473.46,30,9/29/2020,2/16/2021,30,30,false
,Ergonomic,Zamit,Droseraceae,£24659.48,31,10/16/2020,8/19/2020,31,31,false
,Operative,Tempsoft,Poaceae,£24430.09,32,2/13/2021,12/11/2020,32,32,false
,full-range,Konklab,Rosaceae,£1942.20,33,2/8/2021,9/12/2020,33,33,true
,Intuitive,Voltsillam,Primulaceae,£4092.56,34,5/20/2020,1/11/2021,34,34,true
,real-time,It,Lythraceae,£5717.22,35,6/13/2020,4/26/2021,35,35,true
,ability,Zamit,Cactaceae,£6122.91,36,2/11/2021,4/24/2021,36,36,true
,hierarchy,Veribet,Scrophulariaceae,£5528.41,37,6/5/2020,11/3/2020,37,37,false
,regional,Pannier,Catillariaceae,£1956.23,38,1/27/2021,10/31/2020,38,38,true
,empowering,Stronghold,Ranunculaceae,£13076.21,39,3/18/2021,5/28/2020,39,39,false
,attitude,Stringtough,Brassicaceae,£28719.29,40,10/3/2020,10/18/2020,40,40,true
,Advanced,Rank,Gesneriaceae,£9.06,41,11/3/2020,1/9/2021,41,41,false
,Universal,Rank,Caryophyllaceae,£22949.11,42,9/1/2020,8/30/2020,42,42,true
,service-desk,Lotlux,Fabaceae,£25639.65,43,3/14/2021,12/2/2020,43,43,true
,matrix,Span,Juncaceae,£9890.07,44,7/22/2020,9/22/2020,44,44,false
,grid-enabled,Solarbreeze,Ericaceae,£19566.05,45,11/22/2020,11/18/2020,45,45,false
,hardware,Mat Lam Tam,Apiaceae,£18270.51,46,1/14/2021,2/10/2021,46,46,false
,access,Redhold,Lythraceae,£14533.25,47,4/12/2021,1/6/2021,47,47,true
,Synergized,Alpha,Loasaceae,£12990.22,48,5/14/2020,2/2/2021,48,48,true
,Exclusive,Andalax,Apiaceae,£18500.81,49,5/23/2020,6/2/2020,49,49,true
,paradigm,Hatity,Oxalidaceae,£27070.20,50,7/2/2020,2/20/2021,50,50,true
,Phased,Veribet,Polemoniaceae,£12795.13,51,6/12/2020,5/26/2020,51,51,false
,logistical,Sonsing,Asteraceae,£15864.37,52,4/19/2021,4/5/2021,52,52,false
,Progressive,Matsoft,Solanaceae,£29160.78,53,5/27/2020,8/11/2020,53,53,true
,optimizing,Konklab,Poaceae,£16048.36,54,11/18/2020,2/23/2021,54,54,true
,Public-key,Alpha,Poaceae,£6014.32,55,8/26/2020,11/27/2020,55,55,true
,installation,Fix San,Chrysobalanaceae,£18858.20,56,10/16/2020,9/11/2020,56,56,false
,zero administration,Duobam,Fabaceae,£20964.71,57,7/29/2020,4/6/2021,57,57,true
,uniform,Y-find,Rosaceae,£239.98,58,11/13/2020,2/1/2021,58,58,false
,Inverse,Bitwolf,Brassicaceae,£22883.73,59,4/16/2021,5/9/2021,59,59,true
,24 hour,Cardguard,Rosaceae,£5670.91,60,11/22/2020,12/28/2020,60,60,true
,Switchable,Gembucket,Solanaceae,£22002.58,61,3/15/2021,12/14/2020,61,61,true
,tertiary,Job,Crassulaceae,£27331.41,62,8/2/2020,10/24/2020,62,62,false
,Polarised,Hatity,Poaceae,£17342.48,63,8/2/2020,9/24/2020,63,63,true
,fault-tolerant,Treeflex,Myrtaceae,£6581.25,64,9/26/2020,5/11/2021,64,64,true
,Monitored,Fix San,Malvaceae,£7017.27,65,2/3/2021,3/26/2021,65,65,false
,Persevering,Keylex,Fabaceae,£15033.03,66,10/19/2020,7/27/2020,66,66,false
,process improvement,Home Ing,Cactaceae,£11024.87,67,11/18/2020,9/4/2020,67,67,true
,conglomeration,Span,Rubiaceae,£95.61,68,9/19/2020,5/14/2020,68,68,true
,Visionary,Opela,Rubiaceae,£28750.65,69,11/30/2020,6/17/2020,69,69,false
,policy,Zoolab,Asteraceae,£10203.03,70,8/14/2020,12/6/2020,70,70,false
,asynchronous,Cardify,Acarosporaceae,£11617.44,71,4/1/2021,3/15/2021,71,71,true
,leading edge,Job,Poaceae,£23356.16,72,5/11/2021,4/29/2021,72,72,false
,archive,Stringtough,Malpighiaceae,£22341.38,73,7/2/2020,10/9/2020,73,73,false
,time-frame,Sub-Ex,Ramalinaceae,£2574.39,74,7/27/2020,8/6/2020,74,74,false
,zero defect,Fixflex,Asteraceae,£5133.05,75,2/8/2021,5/15/2020,75,75,true
,foreground,Y-find,Fabaceae,£13409.57,76,3/11/2021,4/15/2021,76,76,true
,protocol,Tresom,Zingiberaceae,£12445.16,77,3/8/2021,12/23/2020,77,77,true
,instruction set,Daltfresh,Sparganiaceae,£5565.97,78,3/30/2021,5/16/2020,78,78,false
,approach,Konklab,Juglandaceae,£27333.32,79,1/29/2021,7/18/2020,79,79,false
,focus group,Tresom,Lamiaceae,£4121.41,80,6/4/2020,4/8/2021,80,80,true
,interactive,Zoolab,Cladoniaceae,£7102.61,81,3/20/2021,11/14/2020,81,81,true
,monitoring,Stronghold,Orchidaceae,£29961.17,82,12/30/2020,11/14/2020,82,82,true
,projection,Fixflex,Scrophulariaceae,£22378.74,83,12/23/2020,12/24/2020,83,83,false
,software,Biodex,Lamiaceae,£14002.23,84,11/16/2020,7/10/2020,84,84,true
,migration,Treeflex,Aspleniaceae,£21673.93,85,1/13/2021,12/6/2020,85,85,false
,customer loyalty,Konklab,Rubiaceae,£15465.77,86,1/19/2021,9/19/2020,86,86,false
,even-keeled,Tin,Solanaceae,£27936.75,87,4/20/2021,10/11/2020,87,87,false
,groupware,Stringtough,Cactaceae,£9113.07,88,1/29/2021,9/9/2020,88,88,false
,portal,Keylex,Asteraceae,£19075.73,89,6/27/2020,8/8/2020,89,89,false
,non-volatile,Mat Lam Tam,Limnanthaceae,£22843.37,90,11/17/2020,4/12/2021,90,90,true
,optimal,Alpha,Cyperaceae,£17245.11,91,6/29/2020,10/9/2020,91,91,true
,leading edge,Bamity,Verrucariaceae,£15969.86,92,3/24/2021,3/1/2021,92,92,false
,projection,Konklab,Asteraceae,£24217.09,93,6/12/2020,11/1/2020,93,93,true
,Mandatory,It,Salicaceae,£6583.07,94,9/10/2020,1/3/2021,94,94,false
,ability,Sonair,Saxifragaceae,£2935.81,95,2/28/2021,10/13/2020,95,95,true
,artificial intelligence,Hatity,Polemoniaceae,£1347.54,96,8/30/2020,3/28/2021,96,96,false
,Distributed,Bitwolf,Boraginaceae,£19389.94,97,11/10/2020,1/23/2021,97,97,true
,24/7,Bamity,Scrophulariaceae,£13806.63,98,7/11/2020,8/11/2020,98,98,true
,dynamic,Zaam-Dox,Boraginaceae,£12527.16,99,7/18/2020,3/22/2021,99,99,true
,modular,Wrapsafe,Ranunculaceae,£23508.88,100,2/5/2021,5/5/2021,100,100,true
,Optimized,Cookley,Lauraceae,£1066.11,101,3/12/2021,11/24/2020,101,101,true
,Mandatory,Y-Solowarm,Brassicaceae,£26420.41,102,11/13/2020,10/5/2020,102,102,true
,Multi-tiered,Keylex,Micareaceae,£27033.20,103,2/24/2021,5/13/2021,103,103,false
,help-desk,Flowdesk,Asteraceae,£3725.27,104,10/14/2020,8/9/2020,104,104,false
,client-driven,Bigtax,Bryaceae,£4129.63,105,2/27/2021,3/12/2021,105,105,true
,throughput,Holdlamis,Cyperaceae,£7051.71,106,12/3/2020,12/23/2020,106,106,true
,Secured,Bitchip,Hydrophyllaceae,£19153.17,107,5/24/2020,5/7/2021,107,107,false
,installation,Matsoft,Fabaceae,£28806.86,108,1/31/2021,3/21/2021,108,108,true
,projection,Fixflex,Bromeliaceae,£2610.20,109,8/10/2020,3/31/2021,109,109,true
,internet solution,Ronstring,Fabaceae,£13702.56,110,7/6/2020,6/4/2020,110,110,true
,explicit,Wrapsafe,Polemoniaceae,£26885.47,111,8/25/2020,9/26/2020,111,111,false
,static,Zamit,Pottiaceae,£18315.95,112,9/14/2020,10/8/2020,112,112,false
,multi-tasking,Subin,Cyperaceae,£20208.04,113,10/23/2020,5/9/2021,113,113,true
,Customer-focused,Stim,Passifloraceae,£13104.92,114,5/28/2020,2/3/2021,114,114,false
,Quality-focused,Domainer,Grammitidaceae,£17469.41,115,2/3/2021,11/28/2020,115,115,true
,toolset,Zathin,Cupressaceae,£16516.66,116,3/20/2021,2/6/2021,116,116,true
,upward-trending,Fintone,Chenopodiaceae,£494.50,117,7/10/2020,1/3/2021,117,117,true
,Virtual,Tin,Rhamnaceae,£22718.31,118,7/11/2020,9/30/2020,118,118,true
,Customer-focused,Voyatouch,Asteraceae,£15829.24,119,9/16/2020,4/15/2021,119,119,true
,success,Toughjoyfax,Ranunculaceae,£29182.98,120,3/12/2021,2/22/2021,120,120,true
,optimizing,Latlux,Fabaceae,£23430.38,121,3/10/2021,6/27/2020,121,121,true
,dynamic,Biodex,Fabaceae,£5935.31,122,9/15/2020,10/29/2020,122,122,true
,upward-trending,Zamit,Solanaceae,£1692.74,123,9/18/2020,4/2/2021,123,123,true
,collaboration,Opela,Hymeneliaceae,£27165.30,124,3/6/2021,4/8/2021,124,124,false
,Enhanced,Fintone,Brassicaceae,£21783.35,125,2/4/2021,9/8/2020,125,125,true
,Front-line,Y-Solowarm,Campanulaceae,£3487.25,126,5/29/2020,12/29/2020,126,126,true
,Up-sized,Ventosanzap,Polypodiaceae,£26067.52,127,11/25/2020,8/9/2020,127,127,true
,Diverse,Tampflex,Fabaceae,£9463.66,128,7/6/2020,10/2/2020,128,128,false
,infrastructure,Treeflex,Asteraceae,£16526.90,129,4/18/2021,9/9/2020,129,129,true
,Synergized,Domainer,Lamiaceae,£21779.89,130,6/28/2020,2/24/2021,130,130,true
