,Tin,Paeoniaceae,5/3/2021,1/27/2021,1,1,true
,Bitwolf,Asteraceae,5/1/2021,5/29/2020,2,2,true
,Latlux,Apiaceae,5/16/2020,5/19/2020,3,3,false
,Ventosanzap,Rosaceae,8/28/2020,9/29/2020,4,4,false
,Mat Lam Tam,Caryophyllaceae,8/31/2020,11/27/2020,5,5,true
,Alphazap,Annonaceae,6/21/2020,1/27/2021,6,6,false
,Stim,Cactaceae,7/14/2020,3/26/2021,7,7,false
,Regrant,Asteraceae,9/21/2020,3/15/2021,8,8,true
,Wrapsafe,Cyperaceae,10/31/2020,8/16/2020,9,9,true
,Duobam,Solanaceae,10/27/2020,5/4/2021,10,10,false
,Tres-Zap,Poaceae,2/4/2021,12/13/2020,11,11,true
,Tresom,Chenopodiaceae,1/23/2021,8/11/2020,12,12,true
,Zaam-Dox,Brassicaceae,6/30/2020,10/31/2020,13,13,true
,Latlux,Fabaceae,7/8/2020,7/14/2020,14,14,false
,Zoolab,Scrophulariaceae,2/21/2021,1/31/2021,15,15,false
,Span,Myrsinaceae,5/21/2020,3/23/2021,16,16,true
,Prodder,Convolvulaceae,8/11/2020,1/2/2021,17,17,true
,Viva,Cyperaceae,7/5/2020,4/4/2021,18,18,true
,Zontrax,Convolvulaceae,10/22/2020,7/26/2020,19,19,true
,Asoka,Poaceae,9/13/2020,1/4/2021,20,20,true
,Transcof,Passifloraceae,6/1/2020,5/4/2021,21,21,true
,Biodex,Funariaceae,7/1/2020,2/3/2021,22,22,false
,Mat Lam Tam,Crassulaceae,3/20/2021,9/26/2020,23,23,true
,Temp,Cactaceae,1/3/2021,4/24/2021,24,24,true
,Lotlux,Ephedraceae,5/18/2020,7/20/2020,25,25,true
,Alphazap,Poaceae,10/18/2020,1/12/2021,26,26,true
,It,Rubiaceae,6/19/2020,9/23/2020,27,27,true
,Zontrax,Ephedraceae,1/2/2021,11/2/2020,28,28,true
,Flowdesk,Collemataceae,1/28/2021,6/7/2020,29,29,true
,Cardguard,Poaceae,7/5/2020,4/10/2021,30,30,true
,Mat Lam Tam,Pteridaceae,8/19/2020,9/26/2020,31,31,false
,Temp,Orchidaceae,7/15/2020,2/6/2021,32,32,true
,Stronghold,Solanaceae,5/29/2020,5/16/2020,33,33,true
,Sonair,Fabaceae,8/3/2020,1/8/2021,34,34,false
,Vagram,Fabaceae,2/22/2021,3/1/2021,35,35,false
,Hatity,Flacourtiaceae,10/16/2020,11/12/2020,36,36,false
,Alpha,Iridaceae,10/7/2020,12/2/2020,37,37,true
,Stringtough,Fabaceae,7/1/2020,12/24/2020,38,38,false
,Job,Rosaceae,1/13/2021,1/31/2021,39,39,false
,Zaam-Dox,Cyperaceae,10/6/2020,3/5/2021,40,40,false
,Zaam-Dox,Rosaceae,1/25/2021,11/18/2020,41,41,false
,Quo Lux,Juncaceae,7/10/2020,11/11/2020,42,42,false
,Bytecard,Scrophulariaceae,8/4/2020,1/27/2021,43,43,true
,Duobam,Berberidaceae,7/6/2020,9/3/2020,44,44,false
,Tresom,Selaginellaceae,6/24/2020,1/30/2021,45,45,false
,Tempsoft,Rubiaceae,10/23/2020,11/27/2020,46,46,false
,Aerified,Asteraceae,2/22/2021,2/23/2021,47,47,false
,Biodex,Thelypteridaceae,9/25/2020,12/30/2020,48,48,true
,Flexidy,Violaceae,10/27/2020,1/5/2021,49,49,true
,Y-find,Melastomataceae,1/22/2021,1/1/2021,50,50,false
,Y-find,Fabaceae,6/4/2020,4/26/2021,51,51,false
,Span,Rosaceae,10/21/2020,3/10/2021,52,52,true
,Flexidy,Caprifoliaceae,8/7/2020,10/27/2020,53,53,false
,Domainer,Pinaceae,9/20/2020,4/10/2021,54,54,true
,Keylex,Scrophulariaceae,11/29/2020,6/2/2020,55,55,false
,Lotstring,Boraginaceae,6/19/2020,12/2/2020,56,56,false
,Home Ing,Primulaceae,5/21/2020,9/11/2020,57,57,false
,Keylex,Poaceae,1/30/2021,10/13/2020,58,58,true
,Tresom,Scrophulariaceae,7/16/2020,11/25/2020,59,59,true
,Bitwolf,Apiaceae,6/4/2020,9/6/2020,60,60,false
,Asoka,Caryophyllaceae,5/2/2021,8/22/2020,61,61,true
,Pannier,Apiaceae,11/20/2020,8/23/2020,62,62,false
,Stim,Brassicaceae,9/21/2020,5/28/2020,63,63,false
,Otcom,Onagraceae,4/13/2021,12/17/2020,64,64,true
,Voltsillam,Nyctaginaceae,2/21/2021,7/22/2020,65,65,true
,Regrant,Liliaceae,10/3/2020,11/26/2020,66,66,false
,Home Ing,Polygalaceae,8/27/2020,3/20/2021,67,67,false
,Stronghold,Fabaceae,2/23/2021,8/23/2020,68,68,false
,Cookley,Asteraceae,10/3/2020,5/10/2021,69,69,false
,Greenlam,Poaceae,10/1/2020,5/5/2021,70,70,false
,Konklab,Rosaceae,4/29/2021,1/5/2021,71,71,false
,Cardify,Clusiaceae,11/19/2020,4/6/2021,72,72,false
,Temp,Brassicaceae,8/21/2020,6/4/2020,73,73,true
,Otcom,Scrophulariaceae,8/9/2020,9/12/2020,74,74,false
,Voyatouch,Sapotaceae,2/25/2021,6/3/2020,75,75,false
,Y-Solowarm,Rosaceae,7/22/2020,11/24/2020,76,76,true
,Alpha,Cyperaceae,10/23/2020,5/11/2021,77,77,true
,Alpha,Cistaceae,3/3/2021,2/27/2021,78,78,false
,Y-Solowarm,Cyperaceae,9/1/2020,2/23/2021,79,79,true
,Prodder,Scrophulariaceae,4/12/2021,2/22/2021,80,80,true
,Y-Solowarm,Asteraceae,9/28/2020,11/18/2020,81,81,false
,Stringtough,Asteraceae,5/15/2020,1/15/2021,82,82,true
,Bytecard,Ranunculaceae,3/12/2021,9/27/2020,83,83,true
,Cardguard,Fabaceae,8/18/2020,10/15/2020,84,84,true
,Fintone,Rubiaceae,1/24/2021,7/30/2020,85,85,true
,Duobam,Apiaceae,9/1/2020,3/27/2021,86,86,false
,Fix San,Lecanoraceae,12/29/2020,6/15/2020,87,87,true
,Regrant,Verbenaceae,5/27/2020,4/25/2021,88,88,true
,Voyatouch,Euphorbiaceae,6/25/2020,4/8/2021,89,89,false
,Hatity,Thuidiaceae,9/11/2020,12/9/2020,90,90,false
,Andalax,Rosaceae,9/30/2020,1/2/2021,91,91,false
,Bitchip,Liliaceae,8/5/2020,3/17/2021,92,92,true
,Lotstring,Dryopteridaceae,12/18/2020,1/4/2021,93,93,false
,Ronstring,Polypodiaceae,6/28/2020,10/23/2020,94,94,false
,Treeflex,Poaceae,12/13/2020,7/28/2020,95,95,true
,Transcof,Cucurbitaceae,11/23/2020,6/17/2020,96,96,true
,Bamity,Brassicaceae,12/7/2020,12/21/2020,97,97,false
,Span,Cannaceae,2/17/2021,4/25/2021,98,98,false
,Quo Lux,Poaceae,5/7/2021,4/1/2021,99,99,false
,Voyatouch,Lecanoraceae,5/1/2021,6/3/2020,100,100,false
,Span,Passifloraceae,5/5/2021,9/14/2020,101,101,false
,Otcom,Rhizocarpaceae,9/8/2020,9/11/2020,102,102,false
,Trippledex,Brassicaceae,11/7/2020,7/10/2020,103,103,true
,Cardguard,Poaceae,12/5/2020,9/9/2020,104,104,true
,Redhold,Campanulaceae,1/29/2021,3/25/2021,105,105,false
,Subin,Agyriaceae,8/25/2020,1/28/2021,106,106,true
,Voltsillam,Asteraceae,11/17/2020,4/12/2021,107,107,true
,Cardguard,Violaceae,5/29/2020,11/26/2020,108,108,true
,Fix San,Asteraceae,7/30/2020,6/28/2020,109,109,true
,Transcof,Solanaceae,12/18/2020,6/17/2020,110,110,true
,Konklab,Cyperaceae,9/24/2020,10/28/2020,111,111,true
,Daltfresh,Anemiaceae,8/26/2020,2/13/2021,112,112,true
,Daltfresh,Fabaceae,8/3/2020,5/31/2020,113,113,false
,Voltsillam,Fagaceae,4/21/2021,5/3/2021,114,114,false
,Treeflex,Convolvulaceae,8/12/2020,12/1/2020,115,115,true
,Tampflex,Scrophulariaceae,12/6/2020,1/27/2021,116,116,true
,Konklab,Isoetaceae,9/30/2020,3/23/2021,117,117,false
,Treeflex,Cyperaceae,10/30/2020,3/26/2021,118,118,false
,Lotstring,Chenopodiaceae,9/19/2020,5/1/2021,119,119,true
,Tempsoft,Pertusariaceae,3/21/2021,3/14/2021,120,120,true
,Pannier,Acanthaceae,4/9/2021,3/13/2021,121,121,true
,Lotstring,Apiaceae,4/4/2021,8/31/2020,122,122,false
,Redhold,Ericaceae,7/16/2020,4/29/2021,123,123,false
,Asoka,Convolvulaceae,10/12/2020,3/16/2021,124,124,true
,Mat Lam Tam,Lecanoraceae,2/27/2021,5/2/2021,125,125,true
,Quo Lux,Parmeliaceae,12/9/2020,12/5/2020,126,126,false
,Alpha,Ophioglossaceae,7/14/2020,12/14/2020,127,127,false
,Temp,Hydrophyllaceae,3/25/2021,7/29/2020,128,128,true
,Sonsing,Iridaceae,4/9/2021,12/15/2020,129,129,false
,Home Ing,Araceae,4/21/2021,5/31/2020,130,130,true
